title,storeCode,location_id,address,city,state,postalCode,latitude,longitude,place_id,maps_url,status
city kart agra,ABT,locations/4666737507424679186,"Bhagwan Talkies Crossing, Nagla Padi, New Agra Colony,, Near United Bank of India",Agra,Uttar Pradesh,282005,27.211453,78.0044254,ChIJ9cntFgB3dDkRV9_mckyVRVY,,CLOSED_PERMANENTLY
Citykart,BDN,locations/2160806110309379164,"SH 43, Jogipura, Near SBI Bank",Budaun,Uttar Pradesh,243601,28.032591,79.1255098,ChIJ07IOnhZFdTkRpQfGPpevzEk,,CLOSED_PERMANENTLY
Citykart Lakhenagar Raipur,RLN,locations/3963622129009739377,"Bridge Complex, Mahadev Ghat Main Road, Lakhenagar, Raipur",Raipur,Chhattisgarh,492001,21.2367967,81.6187014,ChIJmeHCo0DdKDoRtoZOM2CL1hU,,OPEN
Citykart Jagdalpur,JGD,locations/17779110285834330936,"Aghanpur, Guru Govind Singh Ward, Bastar, Jagdalpur",Jabalpur,Chhattisgarh,494001,19.0920615,82.000701,ChIJ_cGGWQATMDoRrl_e6RE786k,,OPEN
Citykart Tezpur,TZP,locations/12392607470940595512,"NT Road, Kamarchuburi, Near Kanhaa - Sweets & Snacks",Sonitpur,Assam,784001,26.6259117,92.7895644,ChIJibn-SgDpRDcRNSf4sVX5wWs,,CLOSED_PERMANENTLY
Citykart Durg,DRG,locations/14233776583195514961,"Chandra Plaza, Station Road",Durg,Chhattisgarh,491001,21.1945785,81.2872953,ChIJz33_bsE9KToRsxTZYg5PzZg,,OPEN
Citykart Balaganj Lucknow,LBL,locations/3954709386895680397,"No. 3 - 603/1, Hardoi Road, Balaganj, Opp. Jeevani Medical Store",Lucknow,Uttar Pradesh,226003,26.8731291,80.8824109,ChIJ7QqULKD_mzkRUWjCuvMaLkE,,OPEN
Citykart Malihabad Lucknow,LMD,locations/9579528954753850655,Near Sbi Bank Mall Road Malihabad Chauraha Lucknow,Lucknow,Uttar Pradesh,226102,26.9272042,80.7115555,ChIJJbZMZ-WpnjkRXQQ1OKC64dI,,OPEN
Citykart Bakshi ka Talab Lucknow,LBK,locations/3561648851735394523,"Sitapur Road, Bakshi Ka Talab ,Near Sbi Bank, Lucknow",Lucknow,Uttar Pradesh,227202,26.9925054,80.9198945,ChIJ979nEtpRmTkROsH9HMd9FBY,,OPEN
Citykart Colonelganj Gonda,GCG,locations/16998098327707021590,"Ashirwad Bhawan, Near Sakrauha Chowraha, Lucknow-Gonda Road",Gonda,Uttar Pradesh,271502,27.1310186,81.6941998,ChIJpf2Gd2qRmTkRWp8yisAsV2I,,OPEN
